# Every counted claim the tracked TraceQL documents make that the
# tree can answer, with the pattern that finds it and the derivation that
# answers it. measure/claims_check.py runs them: EVERY match of a pattern is
# compared, a pattern that finds nothing is a failure, and the totals it prints
# are the rows it ran.
#
# What this file is: the judgement about which numbers are set counts. No
# program makes that judgement, so a counted claim nobody has put here is
# unchecked — and this file, not a sentence in a document, is what a reader
# reads to find out what is checked.
#
# A pattern is applied to the document with its line breaks turned into spaces,
# so a sentence that wrapped is still one sentence. Its one capture group is the
# number.
#
# id	derivation	document	pattern
cases_protection	cases_protection	functional-requirements.md	\(§8\.5\), (\d+) protection
cases_corpus_scale	cases_corpus_scale	functional-requirements.md	and (\d+) corpus-scale
layouts_measured	layout_alternatives	sql-schema.md	All ([a-z]+|\d+) alternatives are built by
statements_total	sql_statements	functional-requirements.md	\d+ of the (\d+) statements name a route
statements_with_route	sql_statements_with_route	functional-requirements.md	(\d+) of the \d+ statements name a route
traceql_src_files	traceql_src_files	server-implementation.md	`crates/pulsus-traceql/src/` \((\d+) files\)
traces_api_files	traces_api_files	server-implementation.md	`crates/pulsus-server/src/traces_api/` \((\d+) files\)
read_traces_files	read_traces_files	server-implementation.md	`crates/pulsus-read/src/traces/` \((\d+) files\)
traceql_tests_files	traceql_tests_files	server-implementation.md	`crates/pulsus-traceql/tests/` \((\d+) files\)
trace_migrations	trace_migrations	server-implementation.md	(\d+) trace migrations
catalogue_sql_per_query	catalogue_sql_per_query	sql-schema.md	and the ([a-z]+) files per served query
tag_names_rows	tag_names_rows	functional-requirements.md	the tag-name catalog \((\d+) rows\)
counted_shapes_rows	counted_shapes_rows	measure/README.md	`measure/counted-shapes\.tsv` says what the other \*\*(\d+)\*\*
claims_rows	claims_rows	measure/README.md	`measure/claims\.tsv` names \*\*(\d+) claims\*\*
trace_mvs	trace_mvs	server-implementation.md	(\d+) trace materialized views
marker_entries	marker_entries_added	measure/README.md	which gains \*\*(\d+) marker entries\*\*
resource_rows_si	resource_rows	server-implementation.md	On g1: (\d+) resource rows
tag_names_rows_si	tag_names_rows	server-implementation.md	resource rows, (\d+) name rows
tag_values_rows_si	tag_values_rows	server-implementation.md	name rows, ([\d,]+) value rows
corpus_spans_si	corpus_spans	server-implementation.md	value rows, against ([\d,]+) spans
bytes_per_span_si	store_bytes_per_span	server-implementation.md	\| bytes on disk per span \| 754\.44 \| ([\d.]+) \|
resource_rows_r1	resource_rows	functional-requirements.md	Measured: (\d+) resource rows
resource_rows_inline	resource_rows	functional-requirements.md	On g1 the (\d+) distinct resources
resource_rows_verified	resource_rows	functional-requirements.md	Verified: 0 of (\d+) resource rows
resource_rows_params	resource_rows	functional-requirements.md	\| services \| 24, 4 pods each \| (\d+) distinct resources \|
tag_values_rows_fr	tag_values_rows	functional-requirements.md	tag-value catalog \(([\d,]+) rows,
store_bytes_fr	store_total_bytes	functional-requirements.md	\| this design, five tables \| ([\d,]+) \|
per_span_fr	store_bytes_per_span	functional-requirements.md	five tables \| [\d,]+ \| \*\*([\d.]+)\*\*
rows_per_span_fr	store_rows_per_span	functional-requirements.md	five tables \| [\d,]+ \| \*\*[\d.]+\*\* \| ([\d.]+) \|
per_span_r2	store_bytes_per_span	functional-requirements.md	measured \*\*([\d.]+) B/span\*\*
overhead_r2	store_index_overhead_pct	functional-requirements.md	index overhead \*\*([\d.]+)%\*\*
per_span_ts3	store_bytes_per_span	functional-requirements.md	\(measured ([\d.]+) and [\d.]+%\)
overhead_ts3	store_index_overhead_pct	functional-requirements.md	\(measured [\d.]+ and ([\d.]+)%\)
store_bytes_sql	store_total_bytes	sql-schema.md	\| \*\*total\*\* \| 2,374,663 \| \*\*([\d,]+)\*\*
per_span_sql	store_bytes_per_span	sql-schema.md	\| \*\*total\*\* \| 2,374,663 \| \*\*[\d,]+\*\* \| \*\*([\d.]+)\*\* \|
total_rows_sql	store_total_rows	sql-schema.md	\| \*\*total\*\* \| ([\d,]+) \|
per_span_model	store_bytes_per_span	sql-schema.md	5\.6·`V`/spans \| \*\*([\d.]+)\*\* \|
overhead_sql	store_index_overhead_pct	sql-schema.md	Non-span tables are \*\*([\d.]+)%\*\*
catalogue_sql_qc	catalogue_sql_per_query	query-catalogue.md	— ([a-z]+) statements per served query
traceql_tests_files_readme	traceql_tests_files	measure/README.md	has (\d+) files and has never had 379
json_dynamic_paths	json_max_dynamic_paths	server-implementation.md	`max_dynamic_paths` \((\d[\d,]*) per part\)
doc_count	doc_count	functional-requirements.md	the first of the (\d+) documents under
