# One line per rule the shared parser decides, with the tree it must produce,
# written out by hand from the grammar rather than captured from the parser.
#
# `catalogue_parse.py` is the only module the catalogue's two sides share, so a
# wrong rule THERE moves both answers together and the comparison stays green
# (review round 5). This file is the second check that makes such a change
# visible: `catalogue.py` parses each query below and fails if the tree differs.
# `measure/perturbations.tsv` plants one wrong rule at a time in the parser and
# requires exactly that.
#
# The expected tree is JSON; key order does not matter, the check compares the
# decoded objects. A tab never appears inside a query or a tree here.
#
# name	traceql	expected tree	what it pins
spanset_and_or_precedence	{ .a = 1 } && { .b = 2 } || { .c = 3 }	{"spanset":{"k":"sp_or","l":{"k":"sp_and","l":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"a"},"r":{"k":"lit","t":"number","v":"1"}}},"r":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"b"},"r":{"k":"lit","t":"number","v":"2"}}}},"r":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"c"},"r":{"k":"lit","t":"number","v":"3"}}}},"pipeline":[],"hints":[]}	`&&` binds tighter than `||`
scope_bracket_key	{ resource["k.v"] = 1 }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"resource","key":"k.v"},"r":{"k":"lit","t":"number","v":"1"}}},"pipeline":[],"hints":[]}	a bracketed key keeps the dot inside the key rather than splitting the path
scope_dotted_path	{ span.a.b = 1 }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"span","key":"a.b"},"r":{"k":"lit","t":"number","v":"1"}}},"pipeline":[],"hints":[]}	a dotted path after a scope is one key
intrinsic_colon_form	{ span:parentID = "0a1b" }	{"spanset":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"intrinsic","name":"span:parentID"},"r":{"k":"lit","t":"string","v":"0a1b"}}},"pipeline":[],"hints":[]}	the colon form of an intrinsic
metric_by_and_threshold	{} | rate() by(name) > 5	{"spanset":{"k":"filter","body":null},"pipeline":[{"k":"metric","fn":"rate","args":[],"by":{"k":"intrinsic","name":"name"},"cmp":[">",{"k":"lit","t":"number","v":"5"}]}],"hints":[]}	a metric carries its grouping key and its trailing threshold in one stage
metric_topk_stage	{} | rate() | topk(10)	{"spanset":{"k":"filter","body":null},"pipeline":[{"k":"metric","fn":"rate","args":[]},{"k":"second","fn":"topk","n":10}],"hints":[]}	`topk` is a stage of its own, with an integer
compare_arguments	{} | compare({ .b = 2 }, 3)	{"spanset":{"k":"filter","body":null},"pipeline":[{"k":"compare","inner":{"k":"filter","body":{"k":"bin","op":"=","l":{"k":"attr","scope":"unscoped","key":"b"},"r":{"k":"lit","t":"number","v":"2"}}},"args":["3"]}],"hints":[]}	compare carries the inner spanset and its positional arguments as written
aggregate_stage	{} | avg(duration) > 100ms	{"spanset":{"k":"filter","body":null},"pipeline":[{"k":"aggregate","op":"avg","arg":{"k":"intrinsic","name":"duration"},"cmp":">","value":{"k":"lit","t":"duration","v":"100","unit":"ms"}}],"hints":[]}	an aggregate stage carries its target, its comparison and its value
select_fields	{} | select(.a, name)	{"spanset":{"k":"filter","body":null},"pipeline":[{"k":"select","fields":[{"k":"attr","scope":"unscoped","key":"a"},{"k":"intrinsic","name":"name"}]}],"hints":[]}	select carries its fields in the order written
hint_exemplars_off	{} | rate() with(exemplars=false)	{"spanset":{"k":"filter","body":null},"pipeline":[{"k":"metric","fn":"rate","args":[]}],"hints":[["exemplars","false"]]}	a hint is a (key, value) pair of text; what `false` means is each side’s own
