# One rule per row. `find` is replaced by `replace` in ONE file, on ONE side,
# and `measure/perturb_check.py` then runs the whole catalogue. A row marked
# `red` must produce at least one disagreement; a row marked `not_discriminated`
# must produce none, and the catalogue document says why no query can tell that
# rule apart. find/replace are JSON strings.
#
# Rows whose file is `catalogue_parse.py` are the SHARED module. A wrong rule
# there moves both answers together, so no comparison can see it; what makes
# those rows go red is `measure/parse_vectors.tsv`, the tree each rule must
# produce written out by hand. That is why what a duration unit is worth in
# nanoseconds is no longer in that module: review round 5 changed the shared
# `ms` multiplier from 10^6 to 10^3 and every answer still agreed.
id	side	file	expect	rule	find	replace
trace_order_interp	interpreter	catalogue_interp.py	red	the traces come back newest first	"out.sort(key=lambda row: (-row[5], row[0]))"	"out.sort(key=lambda row: (row[5], row[0]))"
group_missing_render	renderer	catalogue_render.py	red	`by()` emits no spanset for a span lacking the key	"f\"              AND ({member}){self.group_present(group)}\\n\""	"f\"              AND ({member})\\n\""
group_missing_interp	interpreter	catalogue_interp.py	red	`by()` emits no spanset for a span lacking the key	"if g is None: continue                 # no spanset for a span lacking the key"	"g = '' if g is None else g"
coalesce_render	renderer	catalogue_render.py	red	`| coalesce()` drops the key `by()` added	"                group = None\n"	"                pass\n"
coalesce_interp	interpreter	catalogue_interp.py	red	`| coalesce()` drops the key `by()` added	"elif st['k'] == 'coalesce': group = None"	"elif st['k'] == 'coalesce': pass"
step_label_render	renderer	catalogue_render.py	red	a bucket is labelled by the instant that closes it	"f\"SELECT {grp} AS series, (intDiv(start_ns - 1, {step}) + 1) * {step // 10**6} AS t, \""	"f\"SELECT {grp} AS series, intDiv(start_ns, {step}) * {step // 10**6} AS t, \""
step_label_interp	interpreter	catalogue_interp.py	red	a bucket is labelled by the instant that closes it	"    return ((start_ns - 1) // step_ns + 1) * step_ns // 10 ** 6"	"    return start_ns // step_ns * step_ns // 10 ** 6"
histogram_render	renderer	catalogue_render.py	red	the log2 bucket is the smallest power of two at or above the duration	"grp = \"toString(toUInt64(roundToExp2(duration_ns - 1)) * 2)\""	"grp = \"toString(toUInt64(roundToExp2(duration_ns)) * 2)\""
histogram_interp	interpreter	catalogue_interp.py	red	the log2 bucket is the smallest power of two at or above the duration	"    return 1 << (dur - 1).bit_length()"	"    return 1 << dur.bit_length()"
topk_render	renderer	catalogue_render.py	red	`topk` keeps the largest series, `bottomk` the smallest	"order = 'DESC' if second['fn'] == 'topk' else 'ASC'"	"order = 'ASC' if second['fn'] == 'topk' else 'DESC'"
topk_interp	interpreter	catalogue_interp.py	red	`topk` keeps the largest series, `bottomk` the smallest	"order = sorted(totals, key=lambda g: (-totals[g], g)) if second['fn'] == 'topk' \\"	"order = sorted(totals, key=lambda g: (totals[g], g)) if second['fn'] == 'topk' \\"
exemplar_render	renderer	catalogue_render.py	red	the exemplar is the bucket’s longest span	"\"(duration_ns, span_id)) AS ex\""	"\"(start_ns, span_id)) AS ex\""
exemplar_interp	interpreter	catalogue_interp.py	red	the exemplar is the bucket’s longest span	"if cur is None or (r['dur'], r['span_id']) > (cur['dur'], cur['span_id']):"	"if cur is None or (r['start_ns'], r['span_id']) > (cur['start_ns'], cur['span_id']):"
compare_type_render	renderer	catalogue_render.py	red	`compare()` keeps a value distinct per stored type	"f\"{self.type_word(f'tmap[{self.KEY_PATH}]')} AS type \""	"f\"'string' AS type \""
compare_type_interp	interpreter	catalogue_interp.py	red	`compare()` keeps a value distinct per stored type	"            out.append(('span', k, value_text(t, v), VALUE_TYPE[t]))"	"            out.append(('span', k, value_text(t, v), 'string'))"
root_rule_render	renderer	catalogue_render.py	red	a root is a span whose parent is not stored	"return (f\"(parent_span_id = toFixedString('', 8) OR (trace_id, parent_span_id) NOT IN \""	"return (f\"(parent_span_id = toFixedString('', 8) OR (trace_id, parent_span_id) IN \""
root_rule_interp	interpreter	catalogue_interp.py	red	a root is a span whose parent is not stored	"'nestedSetParent': (-1 if not row['parent_span_id']"	"'nestedSetParent': (-1 if row['parent_span_id']"
childcount_render	renderer	catalogue_render.py	red	`childCount` counts the spans whose parent is this span	"f\"HAVING count() {sqlop} {self.lit_sql(lit)})\")"	"f\"HAVING count() + 1 {sqlop} {self.lit_sql(lit)})\")"
childcount_interp	interpreter	catalogue_interp.py	red	`childCount` counts the spans whose parent is this span	"        return len(self.fx.children.get((row['trace_id'], row['span_id']), []))"	"        return len(self.fx.children.get((row['trace_id'], row['span_id']), [])) + 1"
trace_duration_render	renderer	catalogue_render.py	red	`trace:duration` is the whole trace’s extent	"having = f\"max(end_ns) - min(start_ns) {sqlop} {self.lit_sql(lit)}\""	"having = f\"max(end_ns) {sqlop} {self.lit_sql(lit)}\""
trace_duration_interp	interpreter	catalogue_interp.py	red	`trace:duration` is the whole trace’s extent	"'traceDuration': t['end'] - t['start'], 'trace:duration': t['end'] - t['start'],"	"'traceDuration': t['end'], 'trace:duration': t['end'],"
event_existential_render	renderer	catalogue_render.py	red	an event intrinsic asks whether ANY event satisfies it	"return f\"arrayExists(x -> x.2 {sqlop} {self.lit_sql(lit)}, events)\""	"return f\"arrayAll(x -> x.2 {sqlop} {self.lit_sql(lit)}, events)\""
event_existential_interp	interpreter	catalogue_interp.py	red	an event intrinsic asks whether ANY event satisfies it	"return any(self.cmp(op, v, rv) for v in vals)"	"return all(self.cmp(op, v, rv) for v in vals)"
span_id_hex_render	renderer	catalogue_render.py	red	`span:id` reads the span’s own id column	"if n == 'span:id': return f\"lower(hex(span_id)) {sqlop} {self.lit_sql(lit)}\""	"if n == 'span:id': return f\"lower(hex(parent_span_id)) {sqlop} {self.lit_sql(lit)}\""
escape_hex_parse	parser	catalogue_parse.py	red	a `\x` escape is the character with that hexadecimal code	"if n == 'x': out.append(chr(int(body[i:i+2], 16))); i += 2"	"if n == 'x': out.append(chr(int(body[i:i+2], 16) + 1)); i += 2"
escape_octal_parse	parser	catalogue_parse.py	red	a `\101` escape is the character with that octal code	"elif n in '01234567': out.append(chr(int(body[i-1:i+2], 8))); i += 2"	"elif n in '01234567': out.append(chr(int(body[i-1:i+2], 8) + 1)); i += 2"
int_bounds_parse	parser	catalogue_parse.py	red	`minInt` and `maxInt` are the signed 64-bit bounds	"'-9223372036854775808' if name == 'minInt' else '9223372036854775807'"	"'9223372036854775807' if name == 'minInt' else '-9223372036854775808'"
precedence_parse	parser	catalogue_parse.py	red	multiplication binds tighter than addition	"while self.peek()[1] in ('*', '/', '%') and self.peek()[0] == 'op':"	"while self.peek()[1] in ('*', '/', '%', '+') and self.peek()[0] == 'op':"
struct_op_parse	parser	catalogue_parse.py	red	`>>` is the descendant operator and `>` the child one	"STRUCT = {'>': 'child', '>>': 'descendant', '<': 'parent', '<<': 'ancestor', '~': 'sibling'}"	"STRUCT = {'>': 'child', '>>': 'child', '<': 'parent', '<<': 'ancestor', '~': 'sibling'}"
status_names_parse	parser	catalogue_parse.py	red	`error` is a status keyword, not an attribute name	"STATUS_NAMES = frozenset({'unset', 'ok', 'error'})"	"STATUS_NAMES = frozenset({'unset', 'ok'})"
intrinsic_set_parse	parser	catalogue_parse.py	red	`duration` is an intrinsic, not an attribute name	"    'name', 'duration', 'status', 'kind', 'statusMessage', 'childCount',"	"    'name', 'status', 'kind', 'statusMessage', 'childCount',"
duration_unit_render	renderer	catalogue_render.py	red	a millisecond is 10^6 nanoseconds	"'ns': 1, 'us': 1000, 'µs': 1000, 'ms': 10 ** 6, 's': 10 ** 9,"	"'ns': 1, 'us': 1000, 'µs': 1000, 'ms': 10 ** 3, 's': 10 ** 9,"
duration_unit_interp	interpreter	catalogue_interp.py	red	a millisecond is 10^6 nanoseconds	"'ns': 1, 'us': 1000, 'µs': 1000, 'ms': 10 ** 6, 's': 10 ** 9,"	"'ns': 1, 'us': 1000, 'µs': 1000, 'ms': 10 ** 3, 's': 10 ** 9,"
group_label_render	renderer	catalogue_render.py	red	a group label is the value’s text	"        return f'toString({self.field_value(key)})'"	"        return f\"concat('g', toString({self.field_value(key)}))\""
group_label_interp	interpreter	catalogue_interp.py	red	a group label is the value’s text	"                key = (label_text(g),) if t is None else (label_text(g), t)"	"                key = ('g' + label_text(g),) if t is None else ('g' + label_text(g), t)"
group_order_render	renderer	catalogue_render.py	red	the groups come back in first-appearance order	"f\"             arrayMap({gmap}, arraySort(x -> x.1,\\n\""	"f\"             arrayMap({gmap}, arraySort(x -> x.2,\\n\""
group_order_interp	interpreter	catalogue_interp.py	red	the groups come back in first-appearance order	"                             key=lambda kv: min((r['start_ns'], r['span_id']) for r in kv[1]))"	"                             key=lambda kv: kv[0])"
compare_service_render	renderer	catalogue_render.py	red	`resource.service.name` is counted from the span’s own column	"\"SELECT sel, 'resource', 'service.name', service, 'string' FROM base\","	"\"SELECT sel, 'resource', 'service.name', toString(name), 'string' FROM base\","
compare_service_interp	interpreter	catalogue_interp.py	red	`resource.service.name` is counted from the span’s own column	"out.append(('resource', 'service.name', r['service'], 'string'))"	"out.append(('resource', 'service.name', r['name'], 'string'))"
compare_resource_render	renderer	catalogue_render.py	red	the resource scope is in `compare()`’s key universe	"            self.attr_rows('resource',\n                           '(SELECT b.sel AS sel, r.rattrs AS rattrs FROM base AS b '\n                           'INNER JOIN res AS r USING (resource_id))', 'rattrs'),\n"	""
compare_resource_interp	interpreter	catalogue_interp.py	red	the resource scope is in `compare()`’s key universe	"            out.append(('resource', k, value_text(t, v), VALUE_TYPE[t]))"	"            pass"
compare_perspan_render	renderer	catalogue_render.py	red	a resource is counted once per SPAN, not once per resource	"            self.attr_rows('resource',\n                           '(SELECT b.sel AS sel, r.rattrs AS rattrs FROM base AS b '\n                           'INNER JOIN res AS r USING (resource_id))', 'rattrs'),\n"	"            self.attr_rows('resource',\n                           '(SELECT any(b.sel) AS sel, any(r.rattrs) AS rattrs FROM base AS b '\n                           'INNER JOIN res AS r USING (resource_id) GROUP BY r.resource_id)', 'rattrs'),\n"
compare_keyword_render	renderer	catalogue_render.py	red	`kind` and `status` are counted as the keywords the API returns	"f\"[toString(name), arrayElement({kinds}, least(toInt32(kind), {len(KIND_KEYWORDS) - 1}) + 1), \""	"f\"[toString(name), toString(kind), \""
compare_keyword_interp	interpreter	catalogue_interp.py	red	`kind` and `status` are counted as the keywords the API returns	"                     ('kind', KIND_KEYWORDS[r['kind']]),"	"                     ('kind', r['kind']),"
compare_topn_render	renderer	catalogue_render.py	red	`topN` is applied per key and per side, not as one cap	"f\"count() AS n, row_number() OVER (PARTITION BY scope, key, side \""	"f\"count() AS n, row_number() OVER (\""
compare_topn_interp	interpreter	catalogue_interp.py	red	`topN` is applied per key and per side, not as one cap	"            part = (sc, k, side)          # topN is per key and per side"	"            part = ()          # topN is per key and per side"
exemplar_off_render	renderer	catalogue_render.py	red	`with(exemplars=false)` turns the exemplar column off	"                if v == 'false': return 0"	"                if v == 'false': return DEFAULT_EXEMPLARS"
exemplar_off_interp	interpreter	catalogue_interp.py	red	`with(exemplars=false)` turns the exemplar column off	"                if v == 'false': return 0"	"                if v == 'false': return DEFAULT_EXEMPLARS"
matched_count_render	renderer	catalogue_render.py	red	`matched` is how many spans of the trace the query kept	"            detail = (f\"(SELECT trace_id, max(start_ns) AS last, count() AS matched,\\n\""	"            detail = (f\"(SELECT trace_id, max(start_ns) AS last, count() + 1 AS matched,\\n\""
matched_count_interp	interpreter	catalogue_interp.py	red	`matched` is how many spans of the trace the query kept	"                out.append(head + [len(rs), [self.span_tuple(r, proj) for r in spans]])"	"                out.append(head + [len(rs) + 1, [self.span_tuple(r, proj) for r in spans]])"
root_columns_interp	interpreter	catalogue_interp.py	red	the trace row carries the root service and the root name, in that order	"            head = [tid, t['root_service'], t['root_name'], t['start'], t['end'] - t['start'], last]"	"            head = [tid, t['root_name'], t['root_service'], t['start'], t['end'] - t['start'], last]"
quantile_width_render	renderer	catalogue_render.py	red	the quantile is widened to Float64 so its text is the whole number it stands for	"'quantile_over_time': f'toFloat64(quantilesTDigest({qarg})(duration_ns)[1])',"	"'quantile_over_time': f'quantilesTDigest({qarg})(duration_ns)[1]',"
presence_render	renderer	catalogue_render.py	red	`!= nil` is presence: the key is stored	"        if s == 'span': return f\"dynamicType(attrs.{path(k)}) != 'None'\""	"        if s == 'span': return f\"dynamicType(attrs.{path(k)}) = 'None'\""
presence_interp	interpreter	catalogue_interp.py	red	`!= nil` is presence: the key is stored	"                present = self.value(row, l) is not None"	"                present = self.value(row, l) is None"
select_projection_render	renderer	catalogue_render.py	red	`select()` adds a projected slot to each span tuple	"        projsql = ''.join(', ' + self.projected(f) for f in proj)"	"        projsql = ''"
select_projection_interp	interpreter	catalogue_interp.py	red	`select()` adds a projected slot to each span tuple	"                + [self.value_field(r, f) for f in proj])"	"                + [])"
spanset_and_render	renderer	catalogue_render.py	red	`{A} && {B}` keeps only traces carrying both sides	"        return f\"((({lm}) OR ({rm})) AND ({both}))\", lq + rq"	"        return f\"(({lm}) OR ({rm}))\", lq + rq"
spanset_and_interp	interpreter	catalogue_interp.py	red	`{A} && {B}` keeps only traces carrying both sides	"            traces = {x['trace_id'] for x in l} & {x['trace_id'] for x in r}"	"            traces = {x['trace_id'] for x in l} | {x['trace_id'] for x in r}"
group_type_render	renderer	catalogue_render.py	red	an attribute `by()` group carries its stored type, so two values with the same label stay two groups	"        if key['k'] != 'attr': return None"	"        if True: return None"
group_type_interp	interpreter	catalogue_interp.py	red	an attribute `by()` group carries its stored type, so two values with the same label stay two groups	"        if key['k'] != 'attr': return None"	"        if True: return None"
compare_event_side_render	renderer	catalogue_render.py	red	an event attribute row lands on the side of the SPAN that carries the event	"'(SELECT sel, ev.3 AS eattrs FROM base ARRAY JOIN events AS ev)'"	"'(SELECT false AS sel, ev.3 AS eattrs FROM base ARRAY JOIN events AS ev)'"
